,Released,ReleasedWorldwide,Title,TheatricalDistributor,Genre,Source,ProductionMethod,CreativeType,ProductionBudget,Opening WeekendTheaters,MaximumTheaters,TheatricalEngagements,Opening WeekendRevenue,DomesticBox Office,Infl. Adj. Dom.Box Office,InternationalBox Office,WorldwideBox Office,tconst
134,"Mar 8, 2013","Mar 8, 2013",Oz the Great and Powerful,Walt Disney,Adventure,Spin-Off,Animation/Live Action,Fantasy,200000000.0,3912.0,3912.0,27888.0,79110453.0,234770996.0,264514428.0,255588055.0,490359051.0,tt1623205
135,"Mar 22, 2013","Mar 15, 2013",The Croods,20th Century Fox,Adventure,Original Screenplay,Digital Animation,Kids Fiction,135000000.0,4046.0,4065.0,34796.0,43639736.0,187168425.0,210881025.0,385900000.0,573068425.0,tt0481499
136,"Sep 27, 2013","Sep 26, 2013",Cloudy with a Chance of Meatballs 2,Sony Pictures,Adventure,Based on Fiction Book/Short Story,Digital Animation,Kids Fiction,78000000.0,4001.0,4001.0,29882.0,34017930.0,119793567.0,134958329.0,154599082.0,274392649.0,tt1985966
137,"May 24, 2013","May 24, 2013",Epic,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Digital Animation,Kids Fiction,100000000.0,3882.0,3894.0,19604.0,33531068.0,107518682.0,121140359.0,155275759.0,262794441.0,tt0848537
138,"Aug 9, 2013","Aug 9, 2013",Planes,Walt Disney,Adventure,Original Screenplay,Digital Animation,Kids Fiction,50000000.0,3702.0,3716.0,26389.0,22232291.0,90282580.0,101720591.0,147776989.0,238059569.0,tt1691917
139,"Jul 17, 2013","Jul 17, 2013",Turbo,20th Century Fox,Adventure,Original Screenplay,Digital Animation,Kids Fiction,135000000.0,3806.0,3809.0,16334.0,21312625.0,83028130.0,93547068.0,203868448.0,286896578.0,tt1860353
140,"Jul 31, 2013","Jul 31, 2013",The Smurfs 2,Sony Pictures,Adventure,Based on Comic/Graphic Novel,Animation/Live Action,Kids Fiction,110000000.0,3866.0,3867.0,17079.0,17548389.0,71017784.0,80015110.0,277529739.0,348547523.0,tt2017020
141,"Aug 7, 2013","Aug 7, 2013",Percy Jackson: Sea of Monsters,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Animation/Live Action,Fantasy,90000000.0,3031.0,3080.0,20510.0,14401054.0,68559554.0,77245217.0,132300000.0,200859554.0,tt1854564
142,"Dec 25, 2013","Dec 19, 2013",The Secret Life of Walter Mitty,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,91000000.0,2909.0,2922.0,11536.0,12765508.0,58236838.0,65544508.0,129624345.0,187861183.0,tt0359950
143,"Feb 15, 2013","Feb 15, 2013",Escape From Planet Earth,Weinstein Co.,Adventure,Original Screenplay,Digital Animation,Kids Fiction,40000000.0,3288.0,3353.0,20610.0,15891055.0,57012977.0,64236021.0,17143633.0,74156610.0,tt0765446
144,"Nov 1, 2013","Oct 31, 2013",Free Birds,Relativity,Adventure,Original Screenplay,Digital Animation,Kids Fiction,55000000.0,3736.0,3736.0,19452.0,15805237.0,55750480.0,62808856.0,54636592.0,110387072.0,tt1621039
145,"Dec 20, 2013","Dec 20, 2013",Walking with Dinosaurs,20th Century Fox,Adventure,Based on TV,Animation/Live Action,Kids Fiction,80000000.0,3231.0,3243.0,12784.0,7091938.0,36076121.0,40620542.0,87292721.0,123368842.0,N/A
146,"Aug 30, 2013","Aug 30, 2013",One Direction: This is Us,Sony Pictures,Concert/Performance,Based on Real Life Events,Live Action,Factual,10000000.0,2735.0,2735.0,9764.0,15815497.0,28873374.0,32531374.0,39553626.0,68427000.0,tt2515086
147,"Nov 27, 2013","Nov 27, 2013",Black Nativity,20th Century Fox,Musical,Based on Play,Live Action,Fantasy,17500000.0,1516.0,1525.0,3418.0,3669530.0,7018188.0,7907288.0,435996.0,7454184.0,tt1425922
148,"Oct 4, 2013","Oct 4, 2013",Grace Unplugged,Roadside Attractions,Drama,Original Screenplay,Live Action,Contemporary Fiction,1700000.0,511.0,511.0,1669.0,998145.0,2507159.0,2824788.0,0.0,2507159.0,tt2349460
149,"Oct 18, 2013","Oct 18, 2013",I'm in Love with a Church Girl,High Top Releasing,Drama,Original Screenplay,Live Action,Contemporary Fiction,3000000.0,457.0,458.0,1304.0,971826.0,2387730.0,2690228.0,115662.0,2503392.0,tt1618432
150,"Nov 15, 2013","Nov 15, 2013",The Christmas Candle,Echolight Studios,Adventure,Based on Fiction Book/Short Story,Live Action,Fantasy,7000000.0,5.0,392.0,749.0,68655.0,1632000.0,1838760.0,301829.0,1933829.0,tt2739338
151,"Mar 1, 2013","Mar 1, 2013",The Lost Medallion: The Adventures of Billy Stone,Freestyle Releasing,Adventure,Original Screenplay,Live Action,Kids Fiction,2500000.0,68.0,68.0,247.0,143532.0,549632.0,619262.0,0.0,549632.0,N/A
152,"Aug 16, 2013","Aug 16, 2013",Underdogs,Freestyle Releasing,Drama,Original Screenplay,Live Action,Contemporary Fiction,2500000.0,4.0,4.0,8.0,18722.0,35017.0,39452.0,1357632.0,1392649.0,tt10249374
153,"Dec 31, 2013","Dec 31, 2013",Bucky and the Squirrels,,Adventure,Original Screenplay,Live Action,Contemporary Fiction,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A
