,Released,ReleasedWorldwide,Title,TheatricalDistributor,Genre,Source,ProductionMethod,CreativeType,ProductionBudget,Opening WeekendTheaters,MaximumTheaters,TheatricalEngagements,Opening WeekendRevenue,DomesticBox Office,Infl. Adj. Dom.Box Office,InternationalBox Office,WorldwideBox Office,tconst,Released_dt,year,franchise
11,"Jul 15, 2011","Apr 15, 2011",Winnie the Pooh,Walt Disney,Adventure,Based on Fiction Book/Short Story,Hand Animation,Kids Fiction,30000000,2405,2405,8867,7857076,26692846,30833091,23452761,50145607,tt1449283,2011-07-15 00:00:00,2011,1
94,"Nov 2, 2012","Nov 1, 2012",Wreck-It Ralph,Walt Disney,Adventure,Original Screenplay,Digital Animation,Kids Fiction,165000000,3752,3752,32034,49038712,189412677,217704795,307098844,496511521,tt1772341,2012-11-02 00:00:00,2012,1
61,"Sep 24, 2010","Sep 24, 2010",You Again,Walt Disney,Comedy,Original Screenplay,Live Action,Contemporary Fiction,20000000,2548,2548,11597,8407513,25702053,29839131,7136892,32838945,tt1414382,2010-09-24 00:00:00,2010,0
191,"Mar 4, 2016","Feb 10, 2016",Zootopia,Walt Disney,Adventure,Original Screenplay,Digital Animation,Kids Fiction,150000000,3827,3959,38728,75063401,341268248,361389260,664036390,1005304638,tt2948356,2016-03-04 00:00:00,2016,0
1655,"Jan 19, 2018","Jan 16, 2018",12 Strong,Warner Bros.,Drama,Based on Factual Book/Article,Live Action,Historical Fiction,35000000,3002,3018,12713,15815025,45819713,46071191,25298665,71118378,tt1413492,2018-01-19 00:00:00,2018,0
1399,"Mar 7, 2014","Mar 7, 2014",300: Rise of an Empire,Warner Bros.,Action,Based on Comic/Graphic Novel,Animation/Live Action,Historical Fiction,110000000,3470,3490,15968,45038460,106580051,119494884,224200000,330780051,tt1253863,2014-03-07 00:00:00,2014,0
538,"Apr 12, 2013","Apr 12, 2013",42,Warner Bros.,Drama,Based on Real Life Events,Live Action,Dramatization,31000000,3003,3405,21418,27487144,95020213,107058443,2450488,97470701,tt0453562,2013-04-12 00:00:00,2013,0
1074,"Apr 30, 2010","Apr 30, 2010",A Nightmare on Elm Street,Warner Bros.,Horror,Remake,Live Action,Contemporary Fiction,35000000,3332,3332,13737,32902299,63075011,73227770,54654610,117729621,tt1179056,2010-04-30 00:00:00,2010,1
1639,"Oct 5, 2018","Oct 5, 2018",A Star is Born,Warner Bros.,Drama,Remake,Live Action,Contemporary Fiction,36000000,3686,3904,36697,42908051,215288866,216392918,216581657,431870523,tt1517451,2018-10-05 00:00:00,2018,1
1395,"Dec 25, 2014","Dec 25, 2014",American Sniper,Warner Bros.,Drama,Based on Factual Book/Article,Live Action,Dramatization,58000000,4,3885,34584,633456,350126372,380522815,197200000,547326372,tt2179136,2014-12-25 00:00:00,2014,0
1339,"Oct 3, 2014","Oct 3, 2014",Annabelle,Warner Bros.,Horror,Spin-Off,Live Action,Historical Fiction,6500000,3185,3215,15066,37134255,84273813,94485693,172589107,256862920,tt3322940,2014-10-03 00:00:00,2014,1
1719,"Jun 26, 2019","Jun 26, 2019",Annabelle Comes Home,Warner Bros.,Horror,Original Screenplay,Live Action,Contemporary Fiction,27000000,3613,3613,15742,20269723,74152591,74152591,157100000,231252591,tt8350360,2019-06-26 00:00:00,2019,1
1578,"Aug 11, 2017","Aug 2, 2017",Annabelle: Creation,Warner Bros.,Horror,Original Screenplay,Live Action,Contemporary Fiction,15000000,3502,3565,20808,35006404,102092201,104254687,203292664,305384865,tt5140878,2017-08-11 00:00:00,2017,1
