,mid,title,released,director,boxoffice,inf_adj_boxoffice,cr,wicar
1586,tt0099173,Brain Dead,01-19-1990,Adam Simon,"$1,627,955",2692800.366,0,0
472,tt3305308,Trespass Against Us,11-24-2016,Adam Smith,"$5,711",6313.5105,0,0
1896,tt8285280,Chaos in the Spectrum,06-01-2018,Adam Starks,0,0,0,0
1739,tt1773829,What Fun We Were Having,07-27-2011,Adam Wingard,0,0,0,0
787,tt1617620,A Horrible Way to Die,08-19-2011,Adam Wingard,0,0,0,0
1689,tt1853739,You're Next,08-23-2013,Adam Wingard,"$18,494,006",21615794.21,0,0
177,tt2980592,The Guest,09-05-2014,Adam Wingard,"$332,890",382057.853,18494006,1780153.601
1339,tt1540011,Blair Witch,09-16-2016,Adam Wingard,"$20,777,061",22969040.94,18826896,363402.8791
24,tt1241317,Death Note,08-25-2017,Adam Wingard,0,0,39603957,5602119.76
2124,tt5034838,Godzilla vs. Kong,03-31-2021,Adam Wingard,"$100,563,133",100563133,39603957,5602119.76
1906,tt3076510,Henchmen,10-09-2020,Adam Wood,"$51,145",52224.1595,0,0
1615,tt2435680,Adharm,01-01-2006,Adeep Singh,0,0,0,0
375,tt1127881,Farming,10-25-2019,Adewale Akinnuoye-Agbaje,0,0,0,0
1898,tt7059624,Zamana,07-02-2010,Adi Shankar,0,0,0,0
1113,tt1502397,Bad Boys for Life,01-17-2020,"Adil El Arbi, Bilall Fallah","$206,305,244",210658284.6,0,0
1248,tt3265546,Nan fang lai xin,10-06-2013,"Aditya Assarat, Sun Koh, Chui Mui Tan",0,0,0,0
395,tt0497611,Dubai Return,09-01-2008,Aditya Bhattacharya,0,0,0,0
1048,tt3055378,BMW: Bombay's Most Wanted,10-23-2012,Aditya Bhattacharya,0,0,0,0
768,tt0112870,Dilwale Dulhania Le Jayenge,10-20-1995,Aditya Chopra,0,0,0,0
895,tt0477253,Aashiq Banaya Aapne: Love Takes Over,09-02-2005,Aditya Datt,0,0,0,0
2185,tt0814082,Dil Diya Hai,09-08-2006,Aditya Datt,0,0,0,0
3082,tt2318401,Bandook,01-18-2013,Aditya Om,0,0,0,0
1687,tt4859526,Friend Request,10-23-2015,Aditya Om,0,0,0,0
