,tconst,title,released_date,actor,dombox,adj_dombox,CRev,WICAR
2769,tt2967224,Hot Pursuit,2015-05-08 00:00:00, Matthew Del Negro,34580201,37574686,0,0
1856,tt1712170,Alex Cross,2012-10-19 00:00:00, Matthew Fox,25888412,29791187,0,0
488,tt3645784,Cinderella,2013-05-02 00:00:00, Matthew Golding,201151353,218570149,0,0
176,tt1216492,Leap Year,2010-01-08 00:00:00, Matthew Goode,25918920,30090911,0,0
5340,tt1682180,Stoker,2013-03-01 00:00:00, Matthew Goode,1703125,1918892,1703125,164831.5677
2415,tt2084970,The Imitation Game,2014-12-25 00:00:00, Matthew Goode,91125143,100069867,92828268,16816591.89
2837,tt2140379,Self/less,2015-07-10 00:00:00, Matthew Goode,12279691,13343051,105107959,6324935.54
23,tt1615918,Alvin and the Chipmunks: Chipwrecked,2011-12-16 00:00:00, Matthew Gray Gubler,133107389,153599799,0,0
572,tt2974918,Alvin and the Chipmunks: The Road Chip,2015-12-18 00:00:00, Matthew Gray Gubler,85886987,92486715,85886987,9930685.406
1072,tt0955308,Robin Hood,2010-05-14 00:00:00, Matthew Macfadyen,105487148,122466699,0,0
1075,tt0955308,Robin Hood,2010-05-14 00:00:00, Matthew Macfadyen,30824628,30992814,30824628,2662262.451
1078,tt0955308,Robin Hood,2010-05-14 00:00:00, Matthew Macfadyen,105487148,122466699,136311776,10748495.94
1081,tt0955308,Robin Hood,2010-05-14 00:00:00, Matthew Macfadyen,30824628,30992814,167136404,3585551.222
1573,tt1509767,The Three Musketeers,2011-10-21 00:00:00, Matthew Macfadyen,20377913,23538672,187514317,2329953.033
1954,tt1704573,Bernie,2012-06-22 00:00:00, Matthew McConaughey,9204489,10592093,0,0
678,tt4302938,Kubo and the Two Strings,2016-08-19 00:00:00, Matthew McConaughey,48023088,50854506,48023088,6825576.254
3372,tt1648190,The Dark Tower,2017-08-04 00:00:00, Matthew McConaughey,50701325,51775270,98724413,19202325.3
3389,tt2932536,47 Meters Down,2017-06-16 00:00:00, Matthew Modine,44307193,45245692,0,0
1826,tt1586265,What to Expect When You're Expecting,2012-05-18 00:00:00, Matthew Morrison,41152203,47356046,0,0
928,tt3224458,A Beautiful Day in the Neighborhood,2019-11-22 00:00:00, Matthew Rhys,61696436,61696436,0,0
3097,tt2304933,The 5th Wave,2016-01-22 00:00:00, Matthew Zuk,34912982,36971427,0,0
1668,tt1549572,Another Earth,2011-10-12 00:00:00, Matthew-Lee Erlbach,1321194,1526120,0,0
7064,tt3335606,Berlin Syndrome,2017-05-26 00:00:00, Matthias Habich,28660,29266,0,0
1084,tt2363363,Robin Hood,2013-10-03 00:00:00, Matthias Koeberlin,105487148,122466699,0,0
1087,tt2363363,Robin Hood,2013-10-03 00:00:00, Matthias Koeberlin,30824628,30992814,30824628,5199731.349
1090,tt2363363,Robin Hood,2013-10-03 00:00:00, Matthias Koeberlin,105487148,122466699,136311776,21418872.78
1093,tt2363363,Robin Hood,2013-10-03 00:00:00, Matthias Koeberlin,30824628,30992814,167136404,8793221.9
2839,tt2935476,Far from the Madding Crowd,2015-05-22 00:00:00, Matthias Schoenaerts,12236500,13296125,0,0
7148,tt2873282,Red Sparrow,2018-03-02 00:00:00, Matthias Schoenaerts,46874505,47131772,46874505,12355311.24
7503,tt6857272,The Kitchen,2017-04-23 00:00:00, Mattia Bartalini,12180032,12180034,0,0
5058,tt1758830,This Is 40,2012-12-21 00:00:00, Maude Apatow,67544505,77407313,0,0
7261,tt1226837,Beautiful Boy,2018-10-25 00:00:00, Maura Tierney,7634767,7676529,0,0
5149,tt2184339,The Purge,2013-06-07 00:00:00, Max Burkholder,64473115,72641292,0,0
402,tt0864835,Mr. Peabody & Sherman,2014-03-07 00:00:00, Max Charles,111506430,125018217,0,0
1488,tt8983360,The Artist,2018-07-11 00:00:00, Max Deeds,44667095,51422774,0,0
6413,tt3766394,"Hello, My Name Is Doris",2016-04-01 00:00:00, Max Greenfield,14444999,15296669,0,0
4999,tt2254110,The Divide,2016-04-22 00:00:00, Max Hastings,18000,20711,0,0
2198,tt1517260,The Host,2013-03-29 00:00:00, Max Irons,26623701,29996683,0,0
4260,tt1327709,Cyrus,2010-08-01 00:00:00, Max Lesser,7468936,8671158,0,0
1564,tt1093357,The Darkest Hour,2011-12-25 00:00:00, Max Minghella,21443494,24733365,0,0
7715,tt10342730,Spiral: From the Book of Saw,2021-05-14 00:00:00, Max Minghella,23216862,23216862,23216862,2492891.575
7063,tt3335606,Berlin Syndrome,2017-05-26 00:00:00, Max Riemelt,28660,29266,0,0
1845,tt1582507,House at the End of the Street,2012-09-21 00:00:00, Max Thieriot,31611916,36377529,0,0
5928,tt1494821,The Gift,2010-02-19 00:00:00, Maya Dajón,43787265,47579037,0,0
4734,tt1478338,Bridesmaids,2011-05-13 00:00:00, Maya Rudolph,169211718,195457674,0,0
343,tt1860353,Turbo,2013-07-17 00:00:00, Maya Rudolph,83028130,93547068,83028130,10044539.94
5887,tt1850457,Sisters,2015-12-18 00:00:00, Maya Rudolph,87044645,93534326,170072775,17377650.07
774,tt3486626,The Nut Job 2: Nutty by Nature,2017-08-11 00:00:00, Maya Rudolph,28370522,28971450,198443297,12150138.49
7208,tt1308728,The Happytime Murders,2018-08-24 00:00:00, Maya Rudolph,20706452,20820094,219149749,13504607.23
3810,tt5663182,Every Day,2016-07-23 00:00:00, Mayumi Yamamoto,6112914,6146461,0,0
1653,tt13388966,A Better Life,, Mayur Paul,1759252,2032119,0,0
7049,tt6265828,A Ghost Story,2017-07-27 00:00:00, McColm Cephas Jr.,1594798,1628575,0,0
3430,tt4481414,Gifted,2017-04-12 00:00:00, Mckenna Grace,24801212,25326548,0,0
7387,tt8350360,Annabelle Comes Home,2019-06-26 00:00:00, Mckenna Grace,74152591,74152591,74152591,30372901.27
3955,tt6722030,The Intruder,2019-05-03 00:00:00, Meagan Good,35388976,35388976,0,0
3110,tt3219106,Inferno,2014-09-09 00:00:00, Medea Novak,34343574,36363844,0,0
6079,tt5671384,Youth,2016-05-20 00:00:00, Meera Joshi,2703296,2898526,0,0
5342,tt1731697,The Lords of Salem,2013-04-18 00:00:00, Meg Foster,1165881,1313581,0,0
2114,tt2023587,Mama,2013-01-18 00:00:00, Megan Charpentier,71628180,80702843,0,0
1315,tt1075747,Jonah Hex,2010-06-18 00:00:00, Megan Fox,10547117,12244813,0,0
7219,tt1555069,Mary Queen of Scots,2014-11-12 00:00:00, Mehdi Dehbi,16648499,16702866,0,0
5862,tt11850870,The Interview,2021-06-01 00:00:00, Mehmet Edip,6105175,6756700,0,0
5294,tt2002718,Machete Kills,2013-10-11 00:00:00, Mel Gibson,8008161,9022719,0,0
3349,tt5657846,Daddy's Home 2,2017-11-10 00:00:00, Mel Gibson,104029443,106197843,104029443,17817041.51
1552,tt5943940,Abduction,2017-06-28 00:00:00, Mel Mills,28087155,32443667,0,0
6505,tt2364897,The Disappointments Room,2016-09-09 00:00:00, Mel Raido,2423467,2566348,0,0
5794,tt2955096,Happy Christmas,2014-06-26 00:00:00, Melanie Lynskey,30312,33984,0,0
7240,tt6499752,Upgrade,2018-06-01 00:00:00, Melanie Vallejo,11977130,12042863,0,0
5681,tt2582802,Whiplash,2014-10-15 00:00:00, Melissa Benoist,13092006,14429785,0,0
5146,tt2083355,The Best Man Holiday,2013-11-15 00:00:00, Melissa De Sousa,70525195,79459931,0,0
4268,tt1244754,Conviction,2010-11-05 00:00:00, Melissa Leo,6797696,7891871,0,0
4620,tt0873886,Red State,2011-09-30 00:00:00, Melissa Leo,1065429,1230683,1065429,105714.8647
4384,tt1183923,Welcome to the Rileys,2011-11-18 00:00:00, Melissa Leo,152857,177457,1218286,30405.34745
6646,tt3774114,Snowden,2016-09-16 00:00:00, Melissa Leo,21587519,22860301,22805805,2457870.879
3642,tt5599520,Night School,2016-04-15 00:00:00, Melissa Lewis,77339130,77740929,0,0
5459,tt2024432,Identity Thief,2013-02-08 00:00:00, Melissa McCarthy,134506920,151547767,0,0
5451,tt2404463,The Heat,2013-06-28 00:00:00, Melissa McCarthy,159581587,179799176,159581587,30165296.12
2480,tt2170593,St. Vincent,2014-10-24 00:00:00, Melissa McCarthy,44137712,49463286,203719299,13359459.22
3884,tt5300236,Glass,2017-11-03 00:00:00, Melissa Parrott,111048468,111048468,0,0
5266,tt2334649,Fruitvale Station,2013-07-26 00:00:00, Melonie Diaz,16098998,18138595,0,0
493,tt5684194,Cinderella,2016-04-18 00:00:00, Melvin LaThomas Brimm,201151353,218570149,0,0
887,tt6139732,Aladdin,2019-05-24 00:00:00, Mena Massoud,355559216,355559216,0,0
1881,tt13892682,Playing for Keeps,2021-03-01 00:00:00, Mena Monroe,13103272,15072578,0,0
2442,tt1805411,Son of God,2010-04-30 00:00:00, Menk Cruzat,59700064,66934218,0,0
1165,tt4170206,Red,2014-11-10 00:00:00, Mercedes Cabral,90380162,104922918,0,0
4497,tt4824222,Drive,, Meredith J. Hudson,35060689,40497853,0,0
6563,tt2331205,The Land,2012-03-16 00:00:00, Merlisa 'Determined' Langellier,43756,46331,0,0
3801,tt7339792,Unbroken: Path to Redemption,2018-09-14 00:00:00, Merritt Patterson,6216897,6251013,0,0
2292,tt2396566,Twenty Feet from Stardom,2013-07-26 00:00:00, Merry Clayton,4946250,5572193,0,0
2478,tt0435651,The Giver,2014-08-15 00:00:00, Meryl Streep,45090374,50554196,0,0
396,tt2180411,Into the Woods,2014-12-25 00:00:00, Meryl Streep,128002372,142229088,128002372,29827601.64
3630,tt6911608,Mamma Mia! Here We Go Again,2018-07-20 00:00:00, Meryl Streep,120634935,121297031,248637307,31693132.56
1023,tt9214832,Emma.,2020-03-06 00:00:00, Mia Goth,10055355,10055355,0,0
4593,tt1602098,Albert Nobbs,2012-02-22 00:00:00, Mia Wasikowska,3014696,3469167,0,0
2157,tt5209042,Temptation,2015-09-18 00:00:00, Mia de La Vega,51975354,58560173,0,0
6081,tt6654316,Fang hua,2017-12-15 00:00:00, Miao Miao,2703296,2898526,0,0
1644,tt4621872,La pazza gioia,2016-05-17 00:00:00, Micaela Ramazzotti,3395391,3921936,0,0
4203,tt1536044,Paranormal Activity 2,2010-10-22 00:00:00, Micah Sloat,84752907,98394467,0,0
1662,tt1645080,The Art of Getting By,2011-06-17 00:00:00, Michael Angarano,1430241,1652079,0,0
5438,tt1935902,The Brass Teapot,2013-04-15 00:00:00, Michael Angarano,6997,7878,6997,845.8938089
6225,tt2231253,Wild Card,2015-01-14 00:00:00, Michael Angarano,3200,3472,10197,724.422371
2404,tt2109176,Noah,, Michael Anthony Coppola,101200044,113462960,0,0
1790,tt1706593,Chronicle,2012-02-03 00:00:00, Michael B. Jordan,64575175,74310124,0,0
5621,tt1800246,That Awkward Moment,2014-01-31 00:00:00, Michael B. Jordan,26068955,29227856,26068955,3922896.427
2722,tt1502712,Fantastic Four,2015-08-07 00:00:00, Michael B. Jordan,56117548,60977076,82186503,13610510.7
3571,tt1825683,Black Panther,2018-02-16 00:00:00, Michael B. Jordan,700059566,703901821,782246069,188091552.7
3141,tt14797014,HaYaar,, Michael Behagen,26594261,28162246,0,0
4995,tt1535616,The Divide,2012-04-20 00:00:00, Michael Biehn,18000,20711,0,0
1352,tt9151364,The Tempest,2019-03-17 00:00:00, Michael Blake,277943,322395,0,0
4928,tt9151404,Coriolanus,2019-03-19 00:00:00, Michael Blake,749641,862652,749641,552097.28
