,Unnamed: 0,Released,ReleasedWorldwide,Title,TheatricalDistributor,Genre,Source,ProductionMethod,CreativeType,ProductionBudget,Opening WeekendTheaters,MaximumTheaters,TheatricalEngagements,Opening WeekendRevenue,DomesticBox Office,Infl. Adj. Dom.Box Office,InternationalBox Office,WorldwideBox Office,TitleLower,tconst,titleType,primaryTitle,originalTitle,startYear,endYear,runtimeMinutes,primaryTitleLower
919,983,2014,2014,Frontera,Magnolia Pictures,Drama,Original Screenplay,Live Action,Contemporary Fiction,2300000.0,3.0,14.0,49.0,10962.0,59696.0,66923.0,0.0,59696.0,frontera,tt2657944,movie,Frontera,Frontera,2013.0,\N,\N,frontera
920,984,2014,2014,Frontera,Magnolia Pictures,Drama,Original Screenplay,Live Action,Contemporary Fiction,2300000.0,3.0,14.0,49.0,10962.0,59696.0,66923.0,0.0,59696.0,frontera,tt8421518,movie,Frontera,Frontera,2018.0,\N,82,frontera
921,985,2015,2015,Star Wars: Episode VII - The Force Awakens,Walt Disney,Adventure,Original Screenplay,Animation/Live Action,Science Fiction,306000000.0,4134.0,4134.0,37852.0,247966675.0,936662225.0,1012399043.0,1127953592.0,2064615817.0,star wars: episode vii - the force awakens,tt2488496,movie,Star Wars: Episode VII - The Force Awakens,Star Wars: Episode VII - The Force Awakens,2015.0,\N,138,star wars: episode vii - the force awakens
922,986,2015,2015,Jurassic World,Universal,Action,Based on Fiction Book/Short Story,Live Action,Science Fiction,215000000.0,4274.0,4291.0,36528.0,208806270.0,652306625.0,708790321.0,1017673342.0,1669979967.0,jurassic world,tt0369610,movie,Jurassic World,Jurassic World,2015.0,\N,124,jurassic world
923,987,2015,2015,Avengers: Age of Ultron,Walt Disney,Action,Based on Comic/Graphic Novel,Animation/Live Action,Super Hero,365000000.0,4276.0,4276.0,30109.0,191271109.0,459005868.0,498753701.0,936311111.0,1395316979.0,avengers: age of ultron,tt2395427,movie,Avengers: Age of Ultron,Avengers: Age of Ultron,2015.0,\N,141,avengers: age of ultron
924,988,2015,2015,Furious 7,Universal,Action,Original Screenplay,Live Action,Contemporary Fiction,190000000.0,4003.0,4022.0,27788.0,147163560.0,353007020.0,383575834.0,1163874506.0,1516881526.0,furious 7,tt2820852,movie,Furious 7,Fast & Furious 7,2015.0,\N,137,furious 7
925,989,2015,2015,The Hunger Games: Mockingjay - Part 2,Lionsgate,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Science Fiction,160000000.0,4175.0,4175.0,25500.0,102665981.0,281723902.0,305911574.0,367262885.0,648986787.0,the hunger games: mockingjay - part 2,tt1951266,movie,The Hunger Games: Mockingjay - Part 2,The Hunger Games: Mockingjay - Part 2,2015.0,\N,137,the hunger games: mockingjay - part 2
926,990,2015,2015,The Martian,20th Century Fox,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Science Fiction,108000000.0,3831.0,3854.0,31994.0,54308575.0,228433663.0,248129643.0,426677875.0,655111538.0,the martian,tt3659388,movie,The Martian,The Martian,2015.0,\N,144,the martian
927,991,2015,2015,Spectre,Sony Pictures,Action,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,300000000.0,3929.0,3929.0,23645.0,70403148.0,200074175.0,217317574.0,679426585.0,879500760.0,spectre,tt2379713,movie,Spectre,Spectre,2015.0,\N,148,spectre
928,992,2015,2015,Mission: Impossible - Rogue Nation,Paramount Pictures,Action,Based on TV,Live Action,Contemporary Fiction,150000000.0,3956.0,3988.0,27828.0,55520089.0,195042377.0,211932163.0,493816615.0,688858992.0,mission: impossible - rogue nation,tt2381249,movie,Mission: Impossible - Rogue Nation,Mission: Impossible - Rogue Nation,2015.0,\N,131,mission: impossible - rogue nation
