,Released,ReleasedWorldwide,Title,TheatricalDistributor,Genre,Source,ProductionMethod,CreativeType,ProductionBudget,Opening WeekendTheaters,MaximumTheaters,TheatricalEngagements,Opening WeekendRevenue,DomesticBox Office,Infl. Adj. Dom.Box Office,InternationalBox Office,WorldwideBox Office
177,2013,2013,Un monstre Ã  Paris ,,Adventure,Original Screenplay,Digital Animation,Fantasy,"$40,000,000",0,0,0,$0,$0,$0,"$27,000,381","$27,000,381"
178,2013,2013,Metegol,,Adventure,Based on Fiction Book/Short Story,Digital Animation,Kids Fiction,"$22,000,000",0,0,0,$0,$0,$0,"$34,061,097","$34,061,097"
179,2013,2013,Bucky and the Squirrels,,Adventure,Original Screenplay,Live Action,Contemporary Fiction,"$500,000",0,0,0,$0,$0,$0,$0,$0
180,2014,2014,The Lego Movie,Warner Bros.,Adventure,Based on Toy,Digital Animation,Kids Fiction,"$60,000,000","3,775","3,890","32,540","$69,050,279","$257,784,718","$289,021,789","$210,300,000","$468,084,718"
181,2014,2014,Maleficent,Walt Disney,Adventure,Spin-Off,Live Action,Fantasy,"$180,000,000","3,948","3,948","29,061","$69,431,298","$241,407,328","$270,659,863","$517,129,407","$758,536,735"
182,2014,2014,Big Hero 6,Walt Disney,Adventure,Original Screenplay,Digital Animation,Super Hero,"$165,000,000","3,761","3,773","32,851","$56,215,889","$222,527,828","$249,101,171","$427,129,579","$649,657,407"
183,2014,2014,How to Train Your Dragon 2,20th Century Fox,Adventure,Original Screenplay,Digital Animation,Fantasy,"$145,000,000","4,253","4,268","28,175","$49,451,322","$177,002,924","$198,451,253","$437,583,346","$614,586,270"
184,2014,2014,Into the Woods,Walt Disney,Musical,Based on Folk Tale/Legend/Fairytale,Animation/Live Action,Fantasy,"$56,200,000","2,440","2,833","16,910","$31,051,923","$128,002,372","$142,229,088","$84,718,770","$212,721,142"
185,2014,2014,Night at the Museum: Secret of the Tomb,20th Century Fox,Adventure,Original Screenplay,Animation/Live Action,Fantasy,"$127,000,000","3,785","3,914","22,470","$17,100,520","$113,746,621","$125,994,811","$240,010,000","$353,756,621"
186,2014,2014,Mr. Peabody & Sherman,20th Century Fox,Adventure,Based on TV,Digital Animation,Kids Fiction,"$145,000,000","3,934","3,951","23,555","$32,207,057","$111,506,430","$125,018,217","$158,300,000","$269,806,430"
187,2014,2014,Heaven is for Real,Sony Pictures,Drama,Based on Factual Book/Article,Live Action,Dramatization,"$12,000,000","2,417","3,048","18,618","$22,522,221","$91,386,097","$102,459,803","$9,527,459","$100,913,556"
188,2014,2014,Annie,Sony Pictures,Musical,Remake,Live Action,Contemporary Fiction,"$65,000,000","3,116","3,197","16,131","$15,861,939","$85,911,262","$95,320,160","$53,918,363","$139,829,625"
189,2014,2014,Penguins of Madagascar,20th Century Fox,Adventure,Spin-Off,Digital Animation,Kids Fiction,"$132,000,000","3,764","3,775","21,146","$25,447,444","$83,350,911","$93,128,575","$283,591,620","$366,942,531"
190,2014,2014,"Alexander and the Terrible, Horrible,…",Walt Disney,Adventure,Based on Fiction Book/Short Story,Live Action,Kids Fiction,"$28,000,000","3,088","3,176","19,460","$18,360,230","$66,954,149","$75,035,450","$34,425,138","$101,379,287"
191,2014,2014,The Nut Job,Open Road,Adventure,Based on Short Film,Digital Animation,Kids Fiction,"$30,000,000","3,427","3,472","19,812","$19,405,000","$64,251,538","$72,037,217","$58,278,428","$122,529,966"
192,2014,2014,Godâs Not Dead,Pure Flix Entertainment,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$1,150,000",780,"1,860","13,176","$9,244,641","$60,755,732","$68,117,809","$3,021,360","$63,777,092"
193,2014,2014,Planes: Fire and Rescue,Walt Disney,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$50,000,000","3,826","3,839","16,636","$17,509,407","$59,157,732","$66,326,168","$97,241,912","$156,399,644"
194,2014,2014,The Hundred-Foot Journey,Walt Disney,Comedy,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$22,000,000","2,023","2,167","15,189","$10,979,290","$54,235,441","$60,807,414","$40,035,047","$94,270,488"
195,2014,2014,Muppets Most Wanted,Walt Disney,Adventure,Based on TV,Live Action,Kids Fiction,"$55,000,000","3,194","3,194","14,622","$17,005,126","$51,178,893","$57,380,493","$28,133,408","$79,312,301"
