,title,year,M,p,q
601,The Divergent Series:…,2016,7685965.895470518,0.5568441294086409,-0.13417523448578206
602,The Disaster Artist,2017,2293644.5662604556,0.2279746380272432,0.4257427453640673
603,The Disappearance of …,2010,94525.7227901593,0.024870175335980592,0.12779652195766045
604,The Dinner,2015,146688.53308658092,0.13849178346377156,0.9499642530237201
605,The Dictator,2012,7378618.850280428,0.22919269127828226,0.6605513598629241
606,The Diary of a Teenag…,2015,171775.6524953526,0.06012089115856469,1.1786799522554956
607,The Devil Inside,2012,6690621.34841742,0.7199265682552966,-0.03424871453190903
608,The Desert Bride,2018,3460.7351949526155,0.14734559958303892,0.051095172148919926
609,The Descendants,2011,10875494.985889811,0.06320339877277388,0.1346980669855477
610,The Deep Blue Sea,2012,140083.45953296634,0.17177354350598764,0.1699705287127623
611,The Death of Stalin,2018,868456.1748050511,0.08276600711120939,0.6320373689326483
612,The Day After,2018,2555.5346099718895,0.34160634135992635,0.31509677228341426
613,The Darkest Minds,2018,1386716.857486946,0.700525505804781,0.1827346986397923
614,The Darkest Hour,2011,2679951.08672973,0.4203789494017153,0.3070446585938226
615,The Dark and The Wicked,2020,16830.094854974366,0.509597847351958,0.09464411336677347
616,The Dark Tower,2017,5666376.022493062,0.520948281569939,-0.12189835929598059
617,The Dark Knight Rises,2012,56243536.431418866,0.5024627657612495,-0.15987639175923696
