,Released,ReleasedWorldwide,Title,TheatricalDistributor,Genre,Source,ProductionMethod,CreativeType,ProductionBudget,Opening WeekendTheaters,MaximumTheaters,TheatricalEngagements,Opening WeekendRevenue,DomesticBox Office,Infl. Adj. Dom.Box Office,InternationalBox Office,WorldwideBox Office,TitleLower
2202,2016,2016,Jackie,Fox Searchlight,Drama,Based on Real Life Events,Live Action,Dramatization,9000000.0,5.0,508.0,3160.0,278715.0,13960394.0,14500509.0,22628118.0,36588512.0,jackie
2203,2016,2016,Triple 9,Open Road,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,20000000.0,2205.0,2205.0,5551.0,6109085.0,12639297.0,13384500.0,13304495.0,25943792.0,triple 9
2204,2016,2016,Fifty Shades of Black,Open Road,Comedy,Based on Movie,Live Action,Contemporary Fiction,5000000.0,2075.0,2075.0,5199.0,5900528.0,11686940.0,12375994.0,10426135.0,22113075.0,fifty shades of black
2205,2016,2016,Nocturnal Animals,Focus Features,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,22500000.0,37.0,1262.0,3319.0,492648.0,10663357.0,11273991.0,21735324.0,32398681.0,nocturnal animals
2206,2016,2016,The Perfect Match,Lionsgate,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,5000000.0,925.0,925.0,3107.0,4294232.0,9669521.0,10239625.0,512529.0,10182050.0,the perfect match
2207,2016,2016,Popstar: Never Stop Never Stopping,Universal,Comedy,Based on Web Series,Live Action,Contemporary Fiction,20000000.0,2311.0,2313.0,4835.0,4698715.0,9496130.0,10056013.0,40990.0,9537120.0,popstar: never stop never stopping
2208,2016,2016,Hardcore Henry,STX Entertainment,Action,Original Screenplay,Live Action,Science Fiction,2000000.0,3015.0,3015.0,6719.0,5107604.0,9252038.0,9797527.0,7935396.0,17187434.0,hardcore henry
2209,2016,2015,The Lobster,Mongrel Media,Romantic Comedy,Original Screenplay,Live Action,Fantasy,4500000.0,7.0,563.0,2393.0,50003.0,9196278.0,9738481.0,8823556.0,18019834.0,the lobster
2210,2016,2016,Meet the Blacks,Freestyle Releasing,Comedy,Original Screenplay,Live Action,Contemporary Fiction,900000.0,1015.0,1015.0,3267.0,4055940.0,9097072.0,9633425.0,0.0,9097072.0,meet the blacks
2211,2016,2016,Shut In,EuropaCorp,Thriller/Suspense,Original Screenplay,Live Action,Fantasy,10000000.0,2058.0,2058.0,4626.0,3613567.0,6900335.0,7307069.0,4460330.0,11360665.0,shut in
2212,2016,2016,Captain Fantastic,Bleecker Street,Drama,Original Screenplay,Live Action,Contemporary Fiction,5000000.0,4.0,550.0,1986.0,93824.0,5879835.0,6226501.0,15460399.0,21340234.0,captain fantastic
2213,2016,2016,20th Century Women,A24,Drama,Original Screenplay,Live Action,Historical Fiction,7000000.0,4.0,650.0,2050.0,111200.0,5664763.0,5791492.0,3688966.0,9353729.0,20th century women
2214,2016,2016,Bleed for This,Open Road,Drama,Based on Real Life Events,Live Action,Dramatization,16000000.0,1549.0,1549.0,3957.0,2366810.0,5083906.0,5383643.0,2087414.0,7171320.0,bleed for this
2215,2016,2016,Hands of Stone,Weinstein Co.,Drama,Based on Real Life Events,Live Action,Dramatization,20000000.0,810.0,2011.0,4117.0,1751388.0,4712792.0,4990652.0,319183.0,5031975.0,hands of stone
2216,2016,2016,Don't Think Twice,Film Arcade,Comedy,Original Screenplay,Live Action,Contemporary Fiction,3000000.0,1.0,175.0,1033.0,92835.0,4417983.0,4678461.0,0.0,4417983.0,don't think twice
2217,2016,2016,Swiss Army Man,A24,Drama,Original Screenplay,Live Action,Contemporary Fiction,3000000.0,3.0,636.0,1669.0,105453.0,4210454.0,4458694.0,1626657.0,5837111.0,swiss army man
2218,2016,2016,Morgan,20th Century Fox,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,8000000.0,2020.0,2020.0,4192.0,2012709.0,3915251.0,4146091.0,3383535.0,7298786.0,morgan
2219,2016,2016,Miss Sloane,EuropaCorp,Drama,Original Screenplay,Live Action,Contemporary Fiction,18000000.0,3.0,1648.0,3220.0,59797.0,3500605.0,3706722.0,4267654.0,7768259.0,miss sloane
2220,2016,2016,Everybody Wants Some,Paramount Pictures,Comedy,Original Screenplay,Live Action,Historical Fiction,10000000.0,19.0,454.0,1315.0,312355.0,3400278.0,3600750.0,2036848.0,5437126.0,everybody wants some
2221,2016,2016,Green Room,A24,Horror,Original Screenplay,Live Action,Contemporary Fiction,5000000.0,3.0,777.0,1989.0,87984.0,3220371.0,3410241.0,587132.0,3807503.0,green room
2222,2016,2016,Compadres,Lionsgate,Comedy,Original Screenplay,Live Action,Contemporary Fiction,3000000.0,368.0,368.0,1157.0,1397434.0,3127773.0,3312183.0,4317271.0,7445044.0,compadres
2223,2016,2016,The Other Side of the Door,20th Century Fox,Horror,Original Screenplay,Live Action,Contemporary Fiction,5000000.0,546.0,585.0,1477.0,1211210.0,3000342.0,3177238.0,9904765.0,12905107.0,the other side of the door
2224,2016,2016,The Disappointments Room,Relativity,Horror,Based on Real Life Events,Live Action,Contemporary Fiction,15000000.0,1554.0,1554.0,3162.0,1402822.0,2423467.0,2566348.0,1080294.0,3503761.0,the disappointments room
2225,2016,2016,Elle,Sony Pictures Classics,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,9100000.0,2.0,143.0,542.0,50934.0,2339735.0,2423901.0,14177973.0,16517708.0,elle
2226,2016,2016,Paterson,Bleecker Street,Comedy,Original Screenplay,Live Action,Contemporary Fiction,5000000.0,4.0,70.0,543.0,69335.0,2141423.0,2190587.0,8586113.0,10727536.0,paterson
2227,2016,2015,The Dressmaker,Broad Green Pictures,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,11900000.0,36.0,174.0,873.0,185165.0,2022115.0,2141333.0,23019543.0,25041658.0,the dressmaker
2228,2016,2015,Jane Got a Gun,Weinstein Co.,Western,Original Screenplay,Live Action,Historical Fiction,25000000.0,1210.0,1210.0,2255.0,835572.0,1513793.0,1603037.0,2257552.0,3771345.0,jane got a gun
2229,2016,2016,The Neon Demon,Broad Green Pictures,Horror,Original Screenplay,Live Action,Contemporary Fiction,7500000.0,783.0,783.0,1013.0,589014.0,1333124.0,1411721.0,2226679.0,3559803.0,the neon demon
2230,2016,2016,31,Saban Films,Horror,Original Screenplay,Live Action,Historical Fiction,1500000.0,14.0,538.0,20.0,11842.0,779820.0,825792.0,142907.0,922727.0,31
2231,2016,2016,American Honey,A24,Drama,Original Screenplay,Live Action,Contemporary Fiction,3500000.0,4.0,135.0,361.0,71203.0,663247.0,702343.0,1948503.0,2611750.0,american honey
2232,2016,2016,The Bronze,Sony Pictures Classics,Black Comedy,Original Screenplay,Live Action,Contemporary Fiction,3500000.0,1167.0,1167.0,1507.0,368328.0,615816.0,652119.0,0.0,615816.0,the bronze
2233,2016,2016,Unsullied,Indican Pictures,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,1500000.0,102.0,102.0,205.0,179112.0,510957.0,541081.0,0.0,510957.0,unsullied
2234,2016,2015,Dheepan,Sundance Selects,Drama,Original Screenplay,Live Action,Contemporary Fiction,9000000.0,2.0,26.0,157.0,20249.0,248795.0,263460.0,7455562.0,7704357.0,dheepan
2235,2016,2015,El Clan,20th Century Fox,Drama,Based on Real Life Events,Live Action,Dramatization,5500000.0,3.0,19.0,58.0,12519.0,201227.0,213089.0,21923875.0,22125102.0,el clan
2236,2016,2016,Kicks,Focus World,Adventure,Original Screenplay,Live Action,Contemporary Fiction,10000000.0,3.0,65.0,83.0,32111.0,150191.0,159045.0,0.0,150191.0,kicks
2237,2016,2016,Creative Control,Magnolia Pictures,Drama,Original Screenplay,Live Action,Science Fiction,1000000.0,3.0,72.0,107.0,6964.0,63014.0,66721.0,0.0,63014.0,creative control
2238,2016,2016,The Land,IFC Films,Drama,Original Screenplay,Live Action,Contemporary Fiction,1000000.0,2.0,6.0,2.0,17958.0,43756.0,46331.0,0.0,43756.0,the land
2239,2016,2016,The Eyes of My Mother,Magnolia Pictures,Horror,Original Screenplay,Live Action,Contemporary Fiction,300000.0,5.0,17.0,34.0,8908.0,27099.0,28689.0,21440.0,48539.0,the eyes of my mother
2240,2016,2016,Mi America,Industrial House Films,Drama,Original Screenplay,Live Action,Contemporary Fiction,2100000.0,1.0,1.0,1.0,3330.0,3330.0,3330.0,0.0,3330.0,mi america
2241,2016,2016,Deadpool,20th Century Fox,Action,Based on Comic/Graphic Novel,Animation/Live Action,Super Hero,58000000.0,3558.0,3856.0,29582.0,132434639.0,363070709.0,384477187.0,421086402.0,784157111.0,deadpool
2242,2016,2016,The Conjuring 2,Warner Bros.,Horror,Original Screenplay,Live Action,Fantasy,40000000.0,3343.0,3356.0,14126.0,40406314.0,102470008.0,108511595.0,207731391.0,310201399.0,the conjuring 2
2243,2016,2016,The Accountant,Warner Bros.,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,40000000.0,3332.0,3402.0,19015.0,24710273.0,86260045.0,91330659.0,66702038.0,152962083.0,the accountant
2244,2016,2016,The Girl on the Train,Universal,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,45000000.0,3144.0,3241.0,15948.0,24536265.0,75395035.0,79840291.0,98883179.0,174278214.0,the girl on the train
2245,2016,2016,Hacksaw Ridge,Lionsgate,Drama,Based on Real Life Events,Live Action,Dramatization,40000000.0,2886.0,2971.0,19682.0,15190758.0,67209615.0,71073924.0,101814311.0,169023926.0,hacksaw ridge
2246,2016,2016,London Has Fallen,Focus Features,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,60000000.0,3490.0,3492.0,15999.0,21635601.0,62524260.0,66210660.0,132669825.0,195194085.0,london has fallen
2247,2016,2016,Why Him?,20th Century Fox,Comedy,Original Screenplay,Live Action,Contemporary Fiction,38000000.0,2970.0,3008.0,13323.0,11002986.0,60323786.0,62758824.0,57101370.0,117425156.0,why him?
2248,2016,2016,Neighbors 2: Sorority Rising,Universal,Comedy,Original Screenplay,Live Action,Contemporary Fiction,35000000.0,3384.0,3416.0,11725.0,21760405.0,55340730.0,58603592.0,53416891.0,108757621.0,neighbors 2: sorority rising
2249,2016,2016,Office Christmas Party,Paramount Pictures,Comedy,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,45000000.0,3210.0,3210.0,12535.0,16890204.0,54767494.0,57859406.0,60330380.0,115097874.0,office christmas party
2250,2016,2016,13 Hours,Paramount Pictures,Thriller/Suspense,Based on Factual Book/Article,Live Action,Dramatization,50000000.0,2389.0,2917.0,12523.0,16194738.0,52853219.0,55969414.0,16558151.0,69411370.0,13 hours
2251,2016,2016,How to Be Single,Warner Bros.,Romantic Comedy,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,37000000.0,3343.0,3357.0,13088.0,17878911.0,46843513.0,49605385.0,53160267.0,100003780.0,how to be single
2252,2016,2016,Mike and Dave Need Wedding Dates,20th Century Fox,Comedy,Original Screenplay,Live Action,Contemporary Fiction,33000000.0,2982.0,3008.0,10094.0,16628170.0,46009673.0,48722379.0,29888427.0,75898100.0,mike and dave need wedding dates
2253,2016,2016,War Dogs,Warner Bros.,Black Comedy,Based on Factual Book/Article,Live Action,Dramatization,50000000.0,3258.0,3258.0,12928.0,14685305.0,43034523.0,45571815.0,43199980.0,86234503.0,war dogs
2254,2016,2016,Allied,Paramount Pictures,Drama,Original Screenplay,Live Action,Historical Fiction,106000000.0,3160.0,3160.0,11698.0,12701743.0,40098064.0,42443364.0,79168597.0,119266661.0,allied
2255,2016,2016,The Nice Guys,Warner Bros.,Black Comedy,Original Screenplay,Live Action,Historical Fiction,50000000.0,2865.0,2865.0,10318.0,11203270.0,36261763.0,38399737.0,23334984.0,59596747.0,the nice guys
2256,2016,2016,Patriots Day,Lionsgate,Thriller/Suspense,Based on Real Life Events,Live Action,Dramatization,40000000.0,7.0,3120.0,11228.0,161306.0,31886361.0,32585518.0,20951628.0,52837989.0,patriots day
2257,2016,2016,Bridget Jones's Baby,Universal,Romantic Comedy,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,35000000.0,2927.0,2930.0,9521.0,8571785.0,24139805.0,25563068.0,183158578.0,207298383.0,bridget jones's baby
2258,2016,2016,Whiskey Tango Foxtrot,Paramount Pictures,Comedy,Based on Factual Book/Article,Live Action,Dramatization,35000000.0,2374.0,2413.0,8824.0,7450275.0,23083334.0,24444312.0,2267413.0,25350747.0,whiskey tango foxtrot
2259,2016,2015,Snowden,Open Road,Drama,Based on Factual Book/Article,Live Action,Dramatization,50000000.0,2443.0,2443.0,9312.0,8000058.0,21587519.0,22860301.0,13793399.0,35380918.0,snowden
2260,2016,2016,Mechanic: Resurrection,Lionsgate,Action,Original Screenplay,Live Action,Contemporary Fiction,40000000.0,2258.0,2258.0,8138.0,7456525.0,21218403.0,22469425.0,104511232.0,125729635.0,mechanic: resurrection
2261,2016,2016,Free State of Jones,STX Entertainment,Drama,Based on Real Life Events,Live Action,Historical Fiction,50000000.0,2815.0,2815.0,7511.0,7572206.0,20810036.0,22036981.0,2427216.0,23237252.0,free state of jones
2262,2016,2016,The Infiltrator,Broad Green Pictures,Thriller/Suspense,Based on Factual Book/Article,Live Action,Dramatization,47500000.0,1601.0,1601.0,4205.0,5303775.0,15436808.0,16346954.0,6715329.0,22152137.0,the infiltrator
2263,2016,2015,Criminal,Lionsgate,Action,Original Screenplay,Live Action,Science Fiction,31500000.0,2683.0,2683.0,7949.0,5767278.0,14708696.0,15575911.0,24062566.0,38771262.0,criminal
2264,2016,2016,Live by Night,Warner Bros.,Drama,Based on Fiction Book/Short Story,Live Action,Historical Fiction,65000000.0,4.0,2822.0,5978.0,33336.0,10378555.0,10601976.0,11395877.0,21774432.0,live by night
2265,2016,2016,Silence,Paramount Pictures,Drama,Based on Fiction Book/Short Story,Live Action,Historical Fiction,46500000.0,4.0,1580.0,2981.0,130880.0,7100177.0,7262295.0,16626449.0,23726626.0,silence
2266,2016,2016,The Brothers Grimsby,Sony Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,35000000.0,2235.0,2235.0,4780.0,3258327.0,6864016.0,7268707.0,21856454.0,28720470.0,the brothers grimsby
2267,2016,2016,A Hologram for the King,Roadside Attractions,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,35000000.0,401.0,523.0,1931.0,1138578.0,4212494.0,4460856.0,7633516.0,11846010.0,a hologram for the king
2268,2016,2016,Mei ren yu,Sony Pictures,Romantic Comedy,Original Screenplay,Live Action,Science Fiction,60720000.0,35.0,106.0,355.0,985052.0,3229457.0,3419859.0,521789022.0,525018479.0,mei ren yu
2269,2016,2016,Billy Lynn's Long Halftime Walk,Sony Pictures,Drama,Based on Fiction Book/Short Story,Live Action,Historical Fiction,40000000.0,2.0,1176.0,2445.0,114129.0,1738477.0,1840977.0,28491925.0,30230402.0,billy lynn's long halftime walk
2270,2017,2017,It,Warner Bros.,Horror,Remake,Live Action,Historical Fiction,35000000.0,4103.0,4148.0,30627.0,123403419.0,328828874.0,334418373.0,372254168.0,701083042.0,it
2271,2017,2017,Justice League,Warner Bros.,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,300000000.0,4051.0,4051.0,22381.0,93842239.0,229024295.0,233820835.0,426920914.0,655945209.0,justice league
2272,2017,2017,Logan,20th Century Fox,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,127000000.0,4071.0,4071.0,23365.0,88411916.0,226277068.0,231070004.0,387925247.0,614202315.0,logan
2273,2017,2017,Get Out,Universal,Horror,Original Screenplay,Live Action,Contemporary Fiction,5000000.0,2781.0,3143.0,24136.0,33377060.0,176040665.0,179760768.0,76459470.0,252500135.0,get out
2274,2017,2017,Girls Trip,Universal,Comedy,Original Screenplay,Live Action,Contemporary Fiction,28000000.0,2591.0,2648.0,17956.0,31201920.0,115108515.0,117546708.0,25777838.0,140886353.0,girls trip
2275,2017,2017,Fifty Shades Darker,Universal,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,55000000.0,3710.0,3714.0,15139.0,46607250.0,114434010.0,116857912.0,266933036.0,381367046.0,fifty shades darker
2276,2017,2017,Baby Driver,Sony Pictures,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,34000000.0,3226.0,3226.0,21722.0,20553320.0,107825862.0,110109795.0,120278323.0,228104185.0,baby driver
2277,2017,2017,Annabelle: Creation,Warner Bros.,Horror,Original Screenplay,Live Action,Contemporary Fiction,15000000.0,3502.0,3565.0,20808.0,35006404.0,102092201.0,104254687.0,203292664.0,305384865.0,annabelle: creation
2278,2017,2017,Kingsman: The Golden Circle,20th Century Fox,Action,Based on Comic/Graphic Novel,Live Action,Contemporary Fiction,104000000.0,4003.0,4038.0,20465.0,39023010.0,100234838.0,102357861.0,308568858.0,408803696.0,kingsman: the golden circle
2279,2017,2017,Blade Runner 2049,Warner Bros.,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Science Fiction,185000000.0,4058.0,4058.0,18595.0,32753122.0,92054159.0,93997749.0,167184812.0,259238971.0,blade runner 2049
2280,2017,2017,John Wick: Chapter 2,Lionsgate,Action,Original Screenplay,Live Action,Contemporary Fiction,40000000.0,3113.0,3113.0,15963.0,30436123.0,92029184.0,93978513.0,79288087.0,171317271.0,john wick: chapter 2
2281,2017,2017,The Hitman's Bodyguard,Lionsgate,Action,Original Screenplay,Live Action,Contemporary Fiction,30000000.0,3377.0,3377.0,20672.0,21384504.0,75468583.0,77067129.0,107946600.0,183415183.0,the hitman's bodyguard
2282,2017,2017,Alien: Covenant,20th Century Fox,Horror,Original Screenplay,Live Action,Science Fiction,97000000.0,3761.0,3772.0,13537.0,36160621.0,74262031.0,75835026.0,164259216.0,238521247.0,alien: covenant
2283,2017,2017,A Bad Moms Christmas,STX Entertainment,Comedy,Original Screenplay,Live Action,Contemporary Fiction,28000000.0,3615.0,3615.0,18530.0,16759161.0,72110659.0,73634648.0,55599891.0,127710550.0,a bad moms christmas
2284,2017,2017,The Shape of Water,Fox Searchlight,Drama,Original Screenplay,Live Action,Historical Fiction,19500000.0,2.0,2341.0,15406.0,166564.0,63859435.0,64455842.0,131931359.0,195790794.0,the shape of water
2285,2017,2017,Baywatch,Paramount Pictures,Comedy,Based on TV,Live Action,Contemporary Fiction,60000000.0,3647.0,3647.0,12583.0,18503871.0,58060186.0,59289996.0,117803597.0,175863783.0,baywatch
2286,2017,2017,"Three Billboards Outside Ebbing, Missouri",Fox Searchlight,Black Comedy,Original Screenplay,Live Action,Contemporary Fiction,12000000.0,4.0,1726.0,15397.0,322168.0,54513740.0,55192160.0,106943006.0,161456746.0,"three billboards outside ebbing, missouri"
2287,2017,2017,Atomic Blonde,Focus Features,Thriller/Suspense,Based on Comic/Graphic Novel,Live Action,Historical Fiction,30000000.0,3304.0,3326.0,12894.0,18286420.0,51573925.0,52666345.0,46771498.0,98345423.0,atomic blonde
2288,2017,2017,American Made,Universal,Action,Based on Real Life Events,Live Action,Dramatization,50000000.0,3024.0,3098.0,14863.0,16776390.0,51342000.0,52429504.0,84227212.0,135569212.0,american made
2289,2017,2017,Lady Bird,A24,Drama,Original Screenplay,Live Action,Contemporary Fiction,10000000.0,4.0,1557.0,12410.0,364437.0,48958273.0,49720251.0,29986725.0,78944998.0,lady bird
2290,2017,2017,Snatched,20th Century Fox,Comedy,Original Screenplay,Live Action,Contemporary Fiction,42000000.0,3501.0,3511.0,12602.0,19542248.0,45852178.0,46823410.0,11999999.0,57852177.0,snatched
2291,2017,2016,All Eyez on Me,Lionsgate,Drama,Based on Real Life Events,Live Action,Dramatization,45000000.0,2471.0,2471.0,7150.0,26435354.0,44922302.0,45873830.0,12775124.0,57697426.0,all eyez on me
2292,2017,2017,The Big Sick,Lionsgate,Romantic Comedy,Based on Real Life Events,Live Action,Dramatization,5000000.0,5.0,2597.0,12667.0,421577.0,42872467.0,43780577.0,13996210.0,56868677.0,the big sick
2293,2017,2017,Jigsaw,Lionsgate,Horror,Original Screenplay,Live Action,Contemporary Fiction,10000000.0,2941.0,2941.0,10856.0,16640452.0,38052832.0,38858854.0,66170483.0,104223315.0,jigsaw
2294,2017,2017,American Assassin,Lionsgate,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,63000000.0,3154.0,3154.0,12450.0,14846778.0,36249674.0,37017502.0,32060466.0,68310140.0,american assassin
2295,2017,2017,The Foreigner,STX Entertainment,Action,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,35000000.0,2515.0,2515.0,10435.0,13113024.0,34393507.0,35122014.0,110980592.0,145374099.0,the foreigner
2296,2017,2017,Wind River,Weinstein Co.,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,11000000.0,4.0,2890.0,14278.0,161558.0,33800859.0,34516822.0,11197393.0,44998252.0,wind river
2297,2017,2017,Fist Fight,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,25000000.0,3185.0,3185.0,10941.0,12201873.0,32187017.0,32868791.0,8099399.0,40286416.0,fist fight
2298,2017,2017,Kidnap,Aviron Pictures,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,21000000.0,2387.0,2418.0,12445.0,10016323.0,30718107.0,31368768.0,4117973.0,34836080.0,kidnap
2299,2017,2016,Underworld: Blood Wars,Sony Pictures,Action,Original Screenplay,Live Action,Fantasy,35000000.0,3070.0,3070.0,8510.0,13688751.0,30353973.0,30996918.0,50855249.0,81209222.0,underworld: blood wars
2300,2017,2017,Life,Sony Pictures,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,58000000.0,3146.0,3146.0,10305.0,12501936.0,30234022.0,30874430.0,71581638.0,101815660.0,life
2301,2017,2017,"I, Tonya",Neon,Black Comedy,Based on Real Life Events,Live Action,Dramatization,11000000.0,4.0,1450.0,7226.0,264155.0,30014534.0,30216156.0,23782875.0,53797409.0,"i, tonya"
2302,2017,2017,Hostiles,Entertainment Studios Motion Pictures,Western,Based on Fiction Book/Short Story,Live Action,Historical Fiction,50000000.0,3.0,2934.0,9935.0,22849.0,29819114.0,29984115.0,7157222.0,36976336.0,hostiles
2303,2017,2017,Molly's Game,STX Entertainment,Drama,Based on Factual Book/Article,Live Action,Dramatization,30000000.0,271.0,1708.0,6979.0,2349967.0,28780744.0,29023094.0,24515680.0,53296424.0,molly's game
2304,2017,2016,Resident Evil: The Final Chapter,Sony Pictures,Horror,Based on Game,Live Action,Science Fiction,40000000.0,3104.0,3104.0,8218.0,13601682.0,26844692.0,27413306.0,287256498.0,314101190.0,resident evil: the final chapter
2305,2017,2017,The House,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,40000000.0,3134.0,3134.0,9084.0,8724795.0,25584504.0,26126427.0,5607921.0,31192425.0,the house
2306,2017,2017,All the Money in the World,Sony Pictures,Thriller/Suspense,Based on Factual Book/Article,Live Action,Dramatization,50000000.0,2074.0,2123.0,6584.0,5584684.0,25106325.0,25443613.0,31784324.0,56890649.0,all the money in the world
2307,2017,2017,Downsizing,Paramount Pictures,Comedy,Original Screenplay,Live Action,Science Fiction,68000000.0,2668.0,2668.0,8011.0,4954287.0,24449754.0,24853260.0,30013217.0,54462971.0,downsizing
2308,2017,2017,Rough Night,Sony Pictures,Black Comedy,Original Screenplay,Live Action,Contemporary Fiction,20000000.0,3162.0,3162.0,8949.0,8004283.0,22105643.0,22573877.0,24738714.0,46844357.0,rough night
2309,2017,2017,Phantom Thread,Focus Features,Drama,Original Screenplay,Live Action,Historical Fiction,35000000.0,4.0,1186.0,5798.0,216495.0,21198205.0,21322831.0,26698516.0,47896721.0,phantom thread
2310,2017,2017,The Disaster Artist,A24,Comedy,Based on Factual Book/Article,Live Action,Dramatization,10000000.0,19.0,1010.0,4112.0,1211345.0,21120616.0,21516840.0,7597051.0,28717667.0,the disaster artist
2311,2017,2017,Sleepless,Open Road,Thriller/Suspense,Based on Movie,Live Action,Contemporary Fiction,30000000.0,1803.0,1803.0,6053.0,8344128.0,20783704.0,21223940.0,12512955.0,33296659.0,sleepless
2312,2017,2017,CHiPS,Warner Bros.,Action,Based on TV,Live Action,Contemporary Fiction,25000000.0,2464.0,2464.0,7413.0,7722802.0,18600152.0,18994139.0,4590140.0,23190292.0,chips
2313,2017,2017,Call Me by Your Name,Sony Pictures Classics,Drama,Based on Fiction Book/Short Story,Live Action,Historical Fiction,3500000.0,4.0,914.0,4733.0,412932.0,18065180.0,18241334.0,23732329.0,41797509.0,call me by your name
2314,2017,2017,mother!,Paramount Pictures,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,30000000.0,2368.0,2368.0,7322.0,7534673.0,17800004.0,18177031.0,24731072.0,42531076.0,mother!
2315,2017,2017,Father Figures,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,25000000.0,2902.0,2902.0,8014.0,3287451.0,17501244.0,17799510.0,3537197.0,21038441.0,father figures
2316,2017,2017,Detroit,Annapurna Pictures,Drama,Based on Real Life Events,Live Action,Dramatization,40000000.0,20.0,3007.0,8636.0,350190.0,16790139.0,17145780.0,9243424.0,26033563.0,detroit
2317,2017,2017,It Comes at Night,A24,Horror,Original Screenplay,Live Action,Contemporary Fiction,5000000.0,2533.0,2533.0,6228.0,5988370.0,13985117.0,14281338.0,5735086.0,19720203.0,it comes at night
2318,2017,2016,Unforgettable,Warner Bros.,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,12000000.0,2417.0,2417.0,6418.0,4785431.0,11368012.0,11608807.0,4853199.0,16221211.0,unforgettable
2319,2017,2017,The Beguiled,Focus Features,Western,Remake,Live Action,Historical Fiction,10000000.0,4.0,941.0,2909.0,229292.0,10576669.0,10800693.0,17462369.0,28039038.0,the beguiled
2320,2017,2017,The Belko Experiment,BH Tilt,Horror,Original Screenplay,Live Action,Contemporary Fiction,5000000.0,1341.0,1341.0,3700.0,4137230.0,10166820.0,10382164.0,1626122.0,11792942.0,the belko experiment
2321,2017,2017,Thank You for Your Service,Universal,Drama,Based on Factual Book/Article,Live Action,Dramatization,20000000.0,2054.0,2083.0,5753.0,3817700.0,9479390.0,9680178.0,505926.0,9985316.0,thank you for your service
2322,2017,2017,The Snowman,Universal,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,35000000.0,1812.0,1815.0,5362.0,3372565.0,6670765.0,6812063.0,36493914.0,43164679.0,the snowman
2323,2017,2017,The Florida Project,A24,Drama,Original Screenplay,Live Action,Contemporary Fiction,2000000.0,4.0,434.0,1965.0,156833.0,5904366.0,6019897.0,5390958.0,11295324.0,the florida project
2324,2017,2017,Stronger,Roadside Attractions,Drama,Based on Factual Book/Article,Live Action,Dramatization,30000000.0,574.0,645.0,1932.0,1611040.0,4211129.0,4300327.0,4575158.0,8786287.0,stronger
2325,2017,2017,Sleight,High Top Releasing,Action,Original Screenplay,Live Action,Science Fiction,250000.0,565.0,591.0,1682.0,1701785.0,3930990.0,4014251.0,3460.0,3934450.0,sleight
2326,2017,2016,Friend Request,Entertainment Studios Motion Pictures,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,9900000.0,2573.0,2573.0,4939.0,2002863.0,3759078.0,3838700.0,7551757.0,11310835.0,friend request
2327,2017,2017,LBJ,Electric Entertainment,Drama,Based on Real Life Events,Live Action,Dramatization,20000000.0,659.0,659.0,1480.0,1110565.0,2468683.0,2520969.0,38498.0,2507181.0,lbj
2328,2017,2017,Tulip Fever,Weinstein Co.,Drama,Based on Fiction Book/Short Story,Live Action,Historical Fiction,25000000.0,765.0,772.0,1962.0,1158017.0,2455635.0,2507651.0,4337133.0,6792768.0,tulip fever
