,Released,ReleasedWorldwide,Title,TheatricalDistributor,Genre,Source,ProductionMethod,CreativeType,ProductionBudget,Opening WeekendTheaters,MaximumTheaters,TheatricalEngagements,Opening WeekendRevenue,DomesticBox Office,Infl. Adj. Dom.Box Office,InternationalBox Office,WorldwideBox Office,TitleLower
1470,2013,2013,Escape Plan,Lionsgate,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,70000000.0,2883.0,2883.0,10590.0,9885732.0,25135965.0,28320064.0,78600000.0,103735965.0,escape plan
1471,2013,2013,The Big Wedding,Lionsgate,Romantic Comedy,Remake,Live Action,Contemporary Fiction,32500000.0,2633.0,2633.0,10036.0,7591663.0,21819348.0,24583663.0,26606623.0,48425971.0,the big wedding
1472,2013,2013,Broken City,20th Century Fox,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,35000000.0,2620.0,2622.0,8146.0,8268908.0,19701164.0,22197126.0,17413813.0,37114977.0,broken city
1473,2013,2013,Parker,FilmDistrict,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,35000000.0,2224.0,2238.0,7651.0,7008222.0,17616641.0,19848511.0,30926747.0,48543388.0,parker
1474,2013,2013,Bullet to the Head,Warner Bros.,Action,Based on Comic/Graphic Novel,Live Action,Contemporary Fiction,55000000.0,2404.0,2404.0,5503.0,4548201.0,9489829.0,10692102.0,13108140.0,22597969.0,bullet to the head
1475,2013,2012,Mr. Nobody,Magnolia Pictures,Drama,Original Screenplay,Live Action,Science Fiction,46500000.0,4.0,4.0,9.0,1612.0,3622.0,4076.0,18632.0,22254.0,mr. nobody
1476,2014,2014,Neighbors,Universal,Comedy,Original Screenplay,Live Action,Contemporary Fiction,18000000.0,3279.0,3311.0,20398.0,49033915.0,150086800.0,168273569.0,120857628.0,270944428.0,neighbors
1477,2014,2014,Tammy,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,20000000.0,3465.0,3465.0,16446.0,21577049.0,84525432.0,94767803.0,11882223.0,96407655.0,tammy
1478,2014,2014,Annabelle,Warner Bros.,Horror,Spin-Off,Live Action,Historical Fiction,6500000.0,3185.0,3215.0,15066.0,37134255.0,84273813.0,94485693.0,172589107.0,256862920.0,annabelle
1479,2014,2014,Let's Be Cops,20th Century Fox,Comedy,Original Screenplay,Live Action,Contemporary Fiction,17000000.0,3094.0,3140.0,20658.0,17813722.0,82390774.0,92374478.0,54500000.0,136890774.0,let's be cops
1480,2014,2014,The Purge: Anarchy,Universal,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,9000000.0,2806.0,2856.0,11344.0,29816675.0,71562550.0,80234144.0,39972331.0,111534881.0,the purge: anarchy
1481,2014,2014,About Last Night,Sony Pictures,Romantic Comedy,Based on Play,Live Action,Contemporary Fiction,13000000.0,2253.0,2253.0,8450.0,25649011.0,48637684.0,54531349.0,1808176.0,50445860.0,about last night
1482,2014,2014,John Wick,Lionsgate,Action,Original Screenplay,Live Action,Contemporary Fiction,30000000.0,2589.0,2589.0,11816.0,14415922.0,43037835.0,48249045.0,32972675.0,76010510.0,john wick
1483,2014,2014,Birdman or (The Unexpected Virtue of Ignorance),Fox Searchlight,Black Comedy,Original Screenplay,Live Action,Contemporary Fiction,18000000.0,4.0,1213.0,12048.0,424397.0,42340598.0,46846448.0,60874496.0,103215094.0,birdman or (the unexpected virtue of ignorance)
1484,2014,2014,Wild,Fox Searchlight,Drama,Based on Factual Book/Article,Live Action,Dramatization,15000000.0,21.0,1361.0,7892.0,606810.0,37880356.0,41843311.0,14580187.0,52460543.0,wild
1485,2014,2014,This Is Where I Leave You,Warner Bros.,Comedy,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,20000000.0,2868.0,2868.0,11431.0,11558149.0,34296320.0,38452169.0,7000000.0,41296320.0,this is where i leave you
1486,2014,2014,The Gambler,Paramount Pictures,Drama,Remake,Live Action,Contemporary Fiction,25000000.0,0.0,2494.0,7760.0,0.0,33680992.0,37552217.0,5037039.0,38718031.0,the gambler
1487,2014,2014,Paranormal Activity: The Marked Ones,Paramount Pictures,Horror,Spin-Off,Live Action,Contemporary Fiction,5000000.0,2867.0,2883.0,8161.0,18343611.0,32462372.0,36497177.0,58442482.0,90904854.0,paranormal activity: the marked ones
1488,2014,2014,Nightcrawler,Open Road,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,8500000.0,2766.0,2766.0,12147.0,10441000.0,32381218.0,36291242.0,17953200.0,50334418.0,nightcrawler
1489,2014,2014,Deliver Us from Evil,Sony Pictures,Horror,Based on Factual Book/Article,Live Action,Fantasy,30000000.0,3049.0,3049.0,8051.0,9740471.0,30577122.0,34282298.0,57379496.0,87956618.0,deliver us from evil
1490,2014,2014,Oculus,Relativity,Horror,Based on Short Film,Live Action,Contemporary Fiction,5000000.0,2648.0,2648.0,8894.0,12005402.0,27695246.0,31051209.0,16420250.0,44115496.0,oculus
1491,2014,2014,That Awkward Moment,FilmDistrict,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,8000000.0,2809.0,2809.0,9893.0,8742109.0,26068955.0,29227856.0,27000000.0,53068955.0,that awkward moment
1492,2014,2014,A Walk Among the Tombstones,Universal,Action,Based on Fiction Book/Short Story,Live Action,Historical Fiction,28000000.0,2712.0,2714.0,8368.0,12758780.0,26017685.0,29170377.0,36090902.0,62108587.0,a walk among the tombstones
1493,2014,2014,Her,Warner Bros.,Drama,Original Screenplay,Live Action,Science Fiction,23000000.0,6.0,2005.0,7480.0,260382.0,25568251.0,28666476.0,22475747.0,48043998.0,her
1494,2014,2014,Boyhood,IFC Films,Drama,Original Screenplay,Live Action,Contemporary Fiction,4000000.0,5.0,775.0,6497.0,387618.0,25379975.0,28418030.0,31893074.0,57273049.0,boyhood
1495,2014,2014,Top Five,Paramount Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,12000000.0,979.0,1426.0,5711.0,6896593.0,25317379.0,28330671.0,684362.0,26001741.0,top five
1496,2014,2014,The November Man,Relativity,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,15000000.0,2776.0,2776.0,10424.0,7911597.0,25018119.0,28049688.0,9802216.0,34820335.0,the november man
1497,2014,2014,"As Above, So Below",Universal,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,5000000.0,2640.0,2650.0,9237.0,8632820.0,21222315.0,23793924.0,20601751.0,41824066.0,"as above, so below"
1498,2014,2014,Addicted,Lionsgate,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,5000000.0,846.0,1037.0,3937.0,7485346.0,17390770.0,19498095.0,108472.0,17499242.0,addicted
1499,2014,2014,A Haunted House 2,Open Road,Comedy,Original Screenplay,Live Action,Multiple Creative Types,4000000.0,2310.0,2310.0,6804.0,8843875.0,17329487.0,19429386.0,3877374.0,21206861.0,a haunted house 2
1500,2014,2014,A Most Wanted Man,Roadside Attractions,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,15000000.0,361.0,808.0,4570.0,2686526.0,17237855.0,19326647.0,18831035.0,36068890.0,a most wanted man
1501,2014,2014,Begin Again,Weinstein Co.,Drama,Original Screenplay,Live Action,Contemporary Fiction,8000000.0,5.0,1302.0,5726.0,134064.0,16170632.0,18130104.0,51584966.0,67755598.0,begin again
